MSA_FIPS,MSA,MSA_Short_Name,County_FIPS,County,Population,Hospitals,Beds
36540,"Omaha-Council Bluffs, NE-IA",Omaha,31153,"Sarpy, NE",187196,3,208
36540,"Omaha-Council Bluffs, NE-IA",Omaha,31155,"Saunders, NE",21578,1,16
30700,"Lincoln, NE","Lincoln, NE",31159,"Seward, NE",17284,1,24
36540,"Omaha-Council Bluffs, NE-IA",Omaha,31177,"Washington, NE",20729,1,25
29820,"Las Vegas-Henderson-Paradise, NV",Las Vegas,32003,"Clark, NV",2266715,43,6237
39900,"Reno, NV","Reno, NV",32029,"Storey, NV",4123,0,0
39900,"Reno, NV","Reno, NV",32031,"Washoe, NV",471519,14,1844
16180,"Carson City, NV","Carson City, NV",32510,"Carson City (Independent City), NV",55916,3,229
31700,"Manchester-Nashua, NH","Manchester-Nashua, NH",33011,"Hillsborough, NH",417025,11,1318
14460,"Boston-Cambridge-Newton, MA-NH",Boston,33015,"Rockingham, NH",309769,6,606
14460,"Boston-Cambridge-Newton, MA-NH",Boston,33017,"Strafford, NH",130633,2,290
12100,"Atlantic City-Hammonton, NJ","Atlantic City-Hammonton, NJ",34001,"Atlantic, NJ",263670,9,1573
35620,"New York-Newark-Jersey City, NY-NJ-PA",NYC,34003,"Bergen, NJ",932202,10,3019
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia,34005,"Burlington, NJ",445349,9,1112
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia,34007,"Camden, NJ",506471,11,2905
36140,"Ocean City, NJ","Ocean City, NJ",34009,"Cape May, NJ",92039,1,242
47220,"Vineland-Bridgeton, NJ","Vineland-Bridgeton, NJ",34011,"Cumberland, NJ",149527,4,588
35620,"New York-Newark-Jersey City, NY-NJ-PA",NYC,34013,"Essex, NJ",798975,14,4524
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia,34015,"Gloucester, NJ",291636,3,609
35620,"New York-Newark-Jersey City, NY-NJ-PA",NYC,34017,"Hudson, NJ",672391,8,1955
35620,"New York-Newark-Jersey City, NY-NJ-PA",NYC,34019,"Hunterdon, NJ",124371,1,184
45940,"Trenton-Princeton, NJ","Trenton-Princeton, NJ",34021,"Mercer, NJ",367430,12,2212
35620,"New York-Newark-Jersey City, NY-NJ-PA",NYC,34023,"Middlesex, NJ",825062,13,2936
35620,"New York-Newark-Jersey City, NY-NJ-PA",NYC,34025,"Monmouth, NJ",618795,8,2253
35620,"New York-Newark-Jersey City, NY-NJ-PA",NYC,34027,"Morris, NJ",491845,10,2082
35620,"New York-Newark-Jersey City, NY-NJ-PA",NYC,34029,"Ocean, NJ",607186,9,1522
35620,"New York-Newark-Jersey City, NY-NJ-PA",NYC,34031,"Passaic, NJ",501826,6,1533
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Philadelphia,34033,"Salem, NJ",62385,2,222
35620,"New York-Newark-Jersey City, NY-NJ-PA",NYC,34035,"Somerset, NJ",328934,5,836
35620,"New York-Newark-Jersey City, NY-NJ-PA",NYC,34037,"Sussex, NJ",140488,2,223
35620,"New York-Newark-Jersey City, NY-NJ-PA",NYC,34039,"Union, NJ",556341,10,1598
10900,"Allentown-Bethlehem-Easton, PA-NJ",Allentown,34041,"Warren, NJ",105267,3,386
10740,"Albuquerque, NM",Albuquerque,35001,"Bernalillo, NM",679121,17,2097
29740,"Las Cruces, NM","Las Cruces, NM",35013,"Doña Ana, NM",218195,6,603
10740,"Albuquerque, NM",Albuquerque,35043,"Sandoval, NM",146748,2,271
22140,"Farmington, NM","Farmington, NM",35045,"San Juan, NM",123958,3,267
42140,"Santa Fe, NM","Santa Fe, NM",35049,"Santa Fe, NM",150358,3,258
10740,"Albuquerque, NM",Albuquerque,35057,"Torrance, NM",15461,0,0
10740,"Albuquerque, NM",Albuquerque,35061,"Valencia, NM",76688,0,0
10580,"Albany-Schenectady-Troy, NY",Albany,36001,"Albany, NY",305506,7,1535
35620,"New York-Newark-Jersey City, NY-NJ-PA",NYC,36005,"Bronx, NY",1418207,15,4207
13780,"Binghamton, NY","Binghamton, NY",36007,"Broome, NY",190488,4,819
21300,"Elmira, NY","Elmira, NY",36015,"Chemung, NY",83456,3,468
39100,"Poughkeepsie-Newburgh-Middletown, NY",Poughkeepsie,36027,"Dutchess, NY",294218,4,753
15380,"Buffalo-Cheektowaga, NY",Buffalo,36029,"Erie, NY",918702,16,3096
46540,"Utica-Rome, NY","Utica-Rome, NY",36043,"Herkimer, NY",61319,1,25
48060,"Watertown-Fort Drum, NY","Watertown-Fort Drum, NY",36045,"Jefferson, NY",109834,3,344
35620,"New York-Newark-Jersey City, NY-NJ-PA",NYC,36047,"Kings, NY",2559903,18,6397
40380,"Rochester, NY",Rochester,36051,"Livingston, NY",62914,1,67
45060,"Syracuse, NY","Syracuse, NY",36053,"Madison, NY",70941,2,126
40380,"Rochester, NY",Rochester,36055,"Monroe, NY",741770,8,2163
35620,"New York-Newark-Jersey City, NY-NJ-PA",NYC,36059,"Nassau, NY",1356924,13,4420
35620,"New York-Newark-Jersey City, NY-NJ-PA",NYC,36061,"New York, NY",1628706,29,11514
15380,"Buffalo-Cheektowaga, NY",Buffalo,36063,"Niagara, NY",209281,5,623
46540,"Utica-Rome, NY","Utica-Rome, NY",36065,"Oneida, NY",228671,7,1099
45060,"Syracuse, NY","Syracuse, NY",36067,"Onondaga, NY",460528,7,1854
40380,"Rochester, NY",Rochester,36069,"Ontario, NY",109777,4,476
39100,"Poughkeepsie-Newburgh-Middletown, NY",Poughkeepsie,36071,"Orange, NY",384940,7,1056
40380,"Rochester, NY",Rochester,36073,"Orleans, NY",40352,1,39
45060,"Syracuse, NY","Syracuse, NY",36075,"Oswego, NY",117124,2,158
35620,"New York-Newark-Jersey City, NY-NJ-PA",NYC,36079,"Putnam, NY",98320,1,164
35620,"New York-Newark-Jersey City, NY-NJ-PA",NYC,36081,"Queens, NY",2253858,12,3965
10580,"Albany-Schenectady-Troy, NY",Albany,36083,"Rensselaer, NY",158714,3,423
35620,"New York-Newark-Jersey City, NY-NJ-PA",NYC,36085,"Richmond, NY",476143,6,1341
35620,"New York-Newark-Jersey City, NY-NJ-PA",NYC,36087,"Rockland, NY",325789,4,1169
10580,"Albany-Schenectady-Troy, NY",Albany,36091,"Saratoga, NY",229863,3,336
